Data;Casos Totais;Mortes;Recuperados;Internados;UCI
17/ago;54234;1779;39800;336;39
18/ago;54448;1784;39936;336;38
19/ago;54701;1786;40129;329;35
20/ago;54992;1788;40264;334;39
21/ago;55211;1792;40473;321;41
22/ago;55452;1794;40652;316;42
23/ago;55597;1796;40774;317;47
24/ago;55720;1801;40880;321;44
25/ago;55912;1805;41021;325;41
26/ago;56274;1807;41184;311;38
27/ago;56671;1809;41357;317;35
28/ago;57074;1815;41556;334;38
29/ago;57448;1818;41766;324;40
30/ago;57768;1819;41885;341;41
31/ago;58012;1822;41961;349;41
1/set;58243;1824;42104;350;44
2/set;58633;1827;42233;337;41
3/set;59051;1829;42427;334;44
4/set;59457;1833;42576;339;40
5/set;59943;1838;42793;345;41
6/set;60258;1840;42953;354;43
7/set;60507;1843;43016;381;49
8/set;60895;1846;43146;394;50
9/set;61541;1849;43284;391;52
10/set;62126;1852;43441;406;57
11/set;62813;1855;43644;404;54
12/set;63310;1860;43894;438;59
13/set;63983;1867;44069;452;57
14/set;64596;1871;44185;477;61
15/set;65021;1875;44362;478;59
16/set;65626;1878;44528;482;61
17/set;66396;1888;44794;480;59
18/set;67176;1894;45053;465;57
19/set;68025;1899;45404;497;64
20/set;68577;1912;45596;511;63
21/set;69200;1920;45736;518;61
22/set;69663;1925;45974;546;70
23/set;70465;1928;46290;571;77
24/set;71156;1931;46676;588;85
25/set;72055;1936;47003;624;86
26/set;72939;1944;47380;615;85
27/set;73604;1953;47647;635;89
28/set;74029;1957;47884;659;98
29/set;74717;1963;48193;661;99
30/set;75542;1971;48530;666;105
1/out;76396;1977;48937;682;107
2/out;77284;1983;49359;682;107
3/out;78247;1995;49845;668;106
4/out;79151;2005;50207;682;105
5/out;79885;2018;50454;701;106
6/out;80312;2032;50712;732;104
7/out;81256;2040;51037;764;104
8/out;82534;2050;51517;801;115
9/out;83928;2062;52164;811;125
10/out;85574;2067;52803;831;122
11/out;86664;2080;53187;843;124
12/out;87913;2094;53498;877;128
13/out;89121;2110;54047;916;132
14/out;91193;2117;54493;957;135
15/out;93294;2128;55081;993;139
16/out;95902;2149;56066;1015;144
17/out;98055;2162;57919;1012;148
18/out;99911;2181;59000;1086;155
19/out;101860;2198;59966;1174;165
20/out;103736;2213;61898;1237;176
21/out;106271;2229;63238;1272;187
22/out;109541;2245;64531;1365;200
23/out;112440;2276;65880;1418;198
24/out;116109;2297;67842;1455;221
25/out;118686;2316;68877;1574;230
26/out;121133;2343;69956;1672;240
27/out;124432;2371;72344;1747;253
28/out;128392;2395;74001;1794;262
29/out;132616;2428;75702;1794;262
30/out;137272;2468;77449;1927;275
31/out;141279;2507;80280;1972;286
1/nov;144341;2544;81771;2122;284
2/nov;146847;2590;83294;2255;294
3/nov;149443;2635;86589;2349;320
4/nov;156940;2694;88946;2337;325
5/nov;161350;2740;91453;2362;320
6/nov;166900;2792;93754;2425;340
7/nov;173540;2848;97747;2420;366
8/nov;179324;2896;99781;2522;378
9/nov;183420;2959;102083;2651;391
10/nov;187237;3021;106878;2742;382
11/nov;192172;3103;110353;2785;391
12/nov;198011;3181;113689;2794;383
13/nov;204664;3250;117382;2799;388
14/nov;211266;3305;122517;2798;413
15/nov;217301;3381;125066;2929;415
16/nov;225672;3472;142155;3040;426
17/nov;230124;3553;149445;3028;431
18/nov;236015;3632;153702;3051;432
19/nov;243009;3701;157924;3017;458
20/nov;249498;3762;163000;3079;481
21/nov;255970;3824;169379;3025;485
22/nov;260758;3897;172919;3151;491
23/nov;264802;3971;176827;3241;498
24/nov;268721;4056;184233;3275;506
25/nov;274011;4127;189356;3251;517
26/nov;280394;4209;193944;3192;516
27/nov;285838;4276;199446;3208;526
28/nov;290706;4363;206275;3155;529
29/nov;294799;4427;209534;3245;536
30/nov;298061;4505;212942;3342;525
1/dez;300462;4577;220877;3275;521
2/dez;303846;4645;223446;3338;525
3/dez;307618;4724;229018;3330;525
4/dez;312553;4803;234038;3295;526
5/dez;318640;4876;240203;3229;517
6/dez;322474;4963;243055;3268;514
7/dez;325071;5041;245843;3367;513
8/dez;327976;5122;252428;3263;499
9/dez;332073;5192;254700;3332;504
10/dez;335207;5278;259548;3304;509
11/dez;340287;5373;263648;3230;507
12/dez;344700;5461;268453;3093;503
13/dez;348744;5559;271322;3157;513
14/dez;350938;5649;274277;3254;513
15/dez;353576;5733;280038;3206;506
16/dez;358296;5815;283719;3181;486
17/dez;362616;5902;287028;3142;494
18/dez;366952;5977;290690;3061;484
19/dez;370787;6063;294814;2973;485
20/dez;374121;6134;297233;3027;483
21/dez;376220;6191;299603;3158;502
22/dez;378656;6254;304825;3095;508
23/dez;383258;6343;308446;2990;511
24/dez;387636;6413;312533;2853;505
25/dez;391782;6478;315126;2754;504
26/dez;392996;6556;316671;2790;513
27/dez;394573;6619;319746;2870;504
28/dez;396666;6677;321682;2967;503
29/dez;400002;6751;327794;2930;486
30/dez;406051;6830;331016;2896;487
31/dez;413678;6906;334276;2840;482
1/jan;420629;6972;338668;2806;483
2/jan;423870;7045;340150;2858;492
3/jan;427254;7118;342535;3044;500
